Area,lon,lat,mode,share_2016,share_2021,delta_pp
Arden (P),144.935,-37.796,Bicycle,7.1896,4.6691,-2.5205
Arden (P),144.935,-37.796,Bus,1.0635,,
Arden (P),144.935,-37.796,Car driver,27.4752,20.24,-7.2352000000000025
Arden (P),144.935,-37.796,Car passenger,2.4365,1.2038,-1.2327000000000001
Arden (P),144.935,-37.796,Did not go to work,6.6903,10.2821,3.5918
Arden (P),144.935,-37.796,Motorbike,1.7924,0.3419,-1.4505
Arden (P),144.935,-37.796,Not stated,0.0749,0.5698,0.4949
Arden (P),144.935,-37.796,Other,2.751,0.7479,-2.0031
Arden (P),144.935,-37.796,Public transport,23.456,8.1736,-15.282399999999999
Arden (P),144.935,-37.796,Taxi/Rideshare,0.8338,0.5698,-0.264
Arden (P),144.935,-37.796,Total,100.0,100.0,0.0
Arden (P),144.935,-37.796,Train,12.4569,5.5381,-6.918799999999999
Arden (P),144.935,-37.796,Tram,9.9356,2.6355,-7.3001000000000005
Arden (P),144.935,-37.796,Truck,0.4793,,
Arden (P),144.935,-37.796,Walk,21.5288,6.9414,-14.5874
Arden (P),144.935,-37.796,Worked at home,5.2923,46.2604,40.9681
Carlton (N),144.967,-37.8,Bicycle,6.3124,3.2744,-3.0380000000000003
Carlton (N),144.967,-37.8,Bus,2.6417,1.6087,-1.0330000000000001
Carlton (N),144.967,-37.8,Car driver,18.3843,14.1015,-4.2828
Carlton (N),144.967,-37.8,Car passenger,1.8277,1.0724,-0.7553000000000001
Carlton (N),144.967,-37.8,Did not go to work,10.3517,13.7136,3.3619000000000003
Carlton (N),144.967,-37.8,Ferry,0.0768,,
Carlton (N),144.967,-37.8,Motorbike,0.4147,0.6161,0.20139999999999997
Carlton (N),144.967,-37.8,Not stated,0.8754,0.3879,-0.48749999999999993
Carlton (N),144.967,-37.8,Other,1.9966,1.6771,-0.3194999999999999
Carlton (N),144.967,-37.8,Public transport,53.6484,27.8095,-25.838900000000002
Carlton (N),144.967,-37.8,Taxi/Rideshare,0.2765,0.5134,0.23689999999999994
Carlton (N),144.967,-37.8,Total,100.0,100.0,0.0
Carlton (N),144.967,-37.8,Train,7.3107,5.8528,-1.4578999999999995
Carlton (N),144.967,-37.8,Tram,17.8621,8.1689,-9.693200000000001
Carlton (N),144.967,-37.8,Truck,0.0768,,
Carlton (N),144.967,-37.8,Walk,27.707,13.3942,-14.312800000000001
Carlton (N),144.967,-37.8,Worked at home,3.8857,35.6189,31.733199999999997
Carlton (P),144.966,-37.804,Bicycle,6.3124,3.2744,-3.0380000000000003
Carlton (P),144.966,-37.804,Bus,2.6417,1.6087,-1.0330000000000001
Carlton (P),144.966,-37.804,Car driver,18.3843,14.1015,-4.2828
Carlton (P),144.966,-37.804,Car passenger,1.8277,1.0724,-0.7553000000000001
Carlton (P),144.966,-37.804,Did not go to work,10.3517,13.7136,3.3619000000000003
Carlton (P),144.966,-37.804,Ferry,0.0768,,
Carlton (P),144.966,-37.804,Motorbike,0.4147,0.6161,0.20139999999999997
Carlton (P),144.966,-37.804,Not stated,0.8754,0.3879,-0.48749999999999993
Carlton (P),144.966,-37.804,Other,1.9966,1.6771,-0.3194999999999999
Carlton (P),144.966,-37.804,Public transport,53.6484,27.8095,-25.838900000000002
Carlton (P),144.966,-37.804,Taxi/Rideshare,0.2765,0.5134,0.23689999999999994
Carlton (P),144.966,-37.804,Total,100.0,100.0,0.0
Carlton (P),144.966,-37.804,Train,7.3107,5.8528,-1.4578999999999995
Carlton (P),144.966,-37.804,Tram,17.8621,8.1689,-9.693200000000001
Carlton (P),144.966,-37.804,Truck,0.0768,,
Carlton (P),144.966,-37.804,Walk,27.707,13.3942,-14.312800000000001
Carlton (P),144.966,-37.804,Worked at home,3.8857,35.6189,31.733199999999997
City North (P),144.962,-37.807,Bicycle,3.2704,2.626,-0.6444000000000001
City North (P),144.962,-37.807,Bus,1.3365,1.0036,-0.3329
City North (P),144.962,-37.807,Car driver,11.0501,10.7875,-0.26260000000000083
City North (P),144.962,-37.807,Car passenger,1.2623,1.0119,-0.25039999999999996
City North (P),144.962,-37.807,Did not go to work,17.4953,17.3641,-0.13119999999999976
City North (P),144.962,-37.807,Motorbike,0.1262,0.5227,0.3965000000000001
City North (P),144.962,-37.807,Not stated,0.4103,0.2718,-0.1385
City North (P),144.962,-37.807,Other,1.6726,1.3005,-0.3721000000000001
City North (P),144.962,-37.807,Public transport,31.9351,18.3228,-13.612299999999998
City North (P),144.962,-37.807,Taxi/Rideshare,0.1262,0.3973,0.2711
City North (P),144.962,-37.807,Total,100.0,100.0,0.0
City North (P),144.962,-37.807,Train,8.7659,6.7533,-2.0126
City North (P),144.962,-37.807,Tram,21.8327,10.5659,-11.2668
City North (P),144.962,-37.807,Walk,28.802,17.1205,-11.6815
City North (P),144.962,-37.807,Worked at home,3.8495,30.2748,26.4253
City of Melbourne,144.9631,-37.8136,Bicycle,3.8634,2.2249,-1.6385
City of Melbourne,144.9631,-37.8136,Bus,1.7421,1.0726,-0.6695
City of Melbourne,144.9631,-37.8136,Car driver,20.6846,14.4551,-6.2295
City of Melbourne,144.9631,-37.8136,Car passenger,1.7897,1.2298,-0.5599000000000001
City of Melbourne,144.9631,-37.8136,Did not go to work,8.6876,11.9147,3.2271
City of Melbourne,144.9631,-37.8136,Ferry,0.0153,0.0122,-0.0030999999999999986
City of Melbourne,144.9631,-37.8136,Motorbike,0.4804,0.652,0.17160000000000003
City of Melbourne,144.9631,-37.8136,Not stated,0.8243,0.393,-0.4313
City of Melbourne,144.9631,-37.8136,Other,1.7237,1.5231,-0.2006000000000001
City of Melbourne,144.9631,-37.8136,Public transport,69.6014,42.0697,-27.5317
City of Melbourne,144.9631,-37.8136,Taxi/Rideshare,0.3883,0.3786,-0.009699999999999986
City of Melbourne,144.9631,-37.8136,Total,100.0,100.0,0.0
City of Melbourne,144.9631,-37.8136,Train,11.5119,6.9658,-4.546100000000001
City of Melbourne,144.9631,-37.8136,Tram,17.9555,8.4534,-9.5021
City of Melbourne,144.9631,-37.8136,Truck,0.0583,0.0531,-0.005199999999999996
City of Melbourne,144.9631,-37.8136,Walk,26.2103,12.104,-14.106300000000001
City of Melbourne,144.9631,-37.8136,Worked at home,4.0645,38.5679,34.5034
Docklands (N),144.946,-37.814,Bicycle,1.2579,1.1556,-0.10230000000000006
Docklands (N),144.946,-37.814,Bus,0.8499,0.4877,-0.36219999999999997
Docklands (N),144.946,-37.814,Car driver,22.1486,16.3804,-5.768199999999997
Docklands (N),144.946,-37.814,Car passenger,2.0228,1.3677,-0.6551000000000002
Docklands (N),144.946,-37.814,Did not go to work,7.1902,9.0013,1.8111000000000006
Docklands (N),144.946,-37.814,Motorbike,0.4759,0.5831,0.10719999999999996
Docklands (N),144.946,-37.814,Not stated,1.0029,0.3181,-0.6847999999999999
Docklands (N),144.946,-37.814,Other,1.7678,1.5903,-0.1775
Docklands (N),144.946,-37.814,Public transport,70.3724,32.230599999999995,-38.1418
Docklands (N),144.946,-37.814,Taxi/Rideshare,0.255,0.2651,0.010099999999999998
Docklands (N),144.946,-37.814,Total,100.0,100.0,0.0
Docklands (N),144.946,-37.814,Train,6.6123,4.8982,-1.7141000000000002
Docklands (N),144.946,-37.814,Tram,27.724,10.7294,-16.9946
Docklands (N),144.946,-37.814,Truck,0.068,0.0424,-0.025600000000000005
Docklands (N),144.946,-37.814,Walk,24.3243,7.4958,-16.828500000000002
Docklands (N),144.946,-37.814,Worked at home,4.3005,45.6849,41.3844
Docklands (P),144.943,-37.815,Bicycle,1.2579,1.1556,-0.10230000000000006
Docklands (P),144.943,-37.815,Bus,0.8499,0.4877,-0.36219999999999997
