
"WebID","Area","Data label","2021","2021%","2016","2016%","2011","2011%","2006","2006%","Data Type",
"10","City of Melbourne","Train","6293","6.9658","7500","11.5119","4895","10.0357","3077","8.1411","UR",
"10","City of Melbourne","Bus","969","1.0726","1135","1.7421","713","1.4618","457","1.2091","UR",
"10","City of Melbourne","Tram","7637","8.4534","11698","17.9555","6820","13.9823","4303","11.3848","UR",
"10","City of Melbourne","Ferry","11","0.0122","10","0.0153","11","0.0226","10","0.0265","UR",
"10","City of Melbourne","Taxi/ride-share","342","0.3786","253","0.3883","220","0.4510","245","0.6482","UR",
"10","City of Melbourne","Car - as driver","13059","14.4551","13476","20.6846","12088","24.7827","10573","27.9739","UR",
"10","City of Melbourne","Car - as passenger","1111","1.2298","1166","1.7897","1009","2.0686","1022","2.7040","UR",
"10","City of Melbourne","Truck","48","0.0531","38","0.0583","32","0.0656","45","0.1191","UR",
"10","City of Melbourne","Motorbike","589","0.6520","313","0.4804","289","0.5925","238","0.6297","UR",
"10","City of Melbourne","Bicycle","2010","2.2249","2517","3.8634","1857","3.8072","1213","3.2093","UR",
"10","City of Melbourne","Walked only","10935","12.1040","17076","26.2103","13435","27.5443","10098","26.7171","UR",
"10","City of Melbourne","Other","1376","1.5231","1123","1.7237","835","1.7119","539","1.4261","UR",
"10","City of Melbourne","Worked at home","34843","38.5679","2648","4.0645","1887","3.8687","1442","3.8152","UR",
"10","City of Melbourne","Did not go to work","10764","11.9147","5660","8.6876","4270","8.7543","4088","10.8160","UR",
"10","City of Melbourne","Not stated","355","0.3930","537","0.8243","415","0.8508","446","1.1800","UR",
"10","City of Melbourne","Total employed persons aged 15+","90342","100.0000","65150","100.0000","48776","100.0000","37796","100.0000","UR",
"20","Greater Melbourne","Train","87812","3.5915","242969","11.4853","191996","9.9591","143583","8.3890","UR",
"20","Greater Melbourne","Bus","20367","0.8330","31937","1.5097","29205","1.5149","21176","1.2372","UR",
"20","Greater Melbourne","Tram","20408","0.8347","50854","2.4039","42661","2.2129","33055","1.9313","UR",
"20","Greater Melbourne","Ferry","426","0.0174","427","0.0202","444","0.0230","325","0.0190","UR",
"20","Greater Melbourne","Taxi/ride-share","5424","0.2218","4032","0.1906","3967","0.2058","3623","0.2117","UR",
"20","Greater Melbourne","Car - as driver","1136186","46.4699","1274264","60.2350","1165462","60.4539","1043852","60.9882","UR",
"20","Greater Melbourne","Car - as passenger","78084","3.1936","81761","3.8649","83746","4.3440","80400","4.6975","UR",
"20","Greater Melbourne","Truck","11602","0.4745","11894","0.5622","14281","0.7408","15959","0.9325","UR",
"20","Greater Melbourne","Motorbike","5747","0.2351","7605","0.3595","7868","0.4081","7762","0.4535","UR",
"20","Greater Melbourne","Bicycle","18099","0.7402","29715","1.4046","25628","1.3294","18973","1.1085","UR",
"20","Greater Melbourne","Walked only","48326","1.9765","63215","2.9882","56341","2.9225","51260","2.9950","UR",
"20","Greater Melbourne","Other","23670","0.9681","25636","1.2118","20562","1.0666","16633","0.9719","UR",
"20","Greater Melbourne","Worked at home","705329","28.8479","88692","4.1925","70708","3.6677","62877","3.6737","UR",
"20","Greater Melbourne","Did not go to work","273414","11.1826","183729","8.6850","185081","9.6004","179592","10.4929","UR",
"20","Greater Melbourne","Not stated","10098","0.4130","18756","0.8866","29901","1.5510","32487","1.8981","UR",
"20","Greater Melbourne","Total employed persons aged 15+","2444992","100.0000","2115486","100.0000","1927851","100.0000","1711563","100.0000","UR",
"35","City of Sydney","Train","7146","5.6313","25708","21.9262","15637","16.1574","10562","13.6358","UR",
"35","City of Sydney","Bus","4222","3.3271","15189","12.9546","13508","13.9576","10588","13.6693","UR",
"35","City of Sydney","Tram","562","0.4429","703","0.5996","347","0.3585","277","0.3576","UR",
"35","City of Sydney","Ferry","32","0.0252","76","0.0648","69","0.0713","26","0.0336","UR",
"35","City of Sydney","Taxi/ride-share","439","0.3459","1037","0.8845","1235","1.2761","1132","1.4614","UR",
"35","City of Sydney","Car - as driver","16297","12.8426","23348","19.9133","22020","22.7529","19652","25.3712","UR",
"35","City of Sydney","Car - as passenger","1567","1.2349","2579","2.1996","2425","2.5057","2402","3.1010","UR",
"35","City of Sydney","Truck","131","0.1032","146","0.1245","178","0.1839","175","0.2259","UR",
"35","City of Sydney","Motorbike","1001","0.7888","1426","1.2162","1154","1.1924","576","0.7436","UR",
"35","City of Sydney","Bicycle","2035","1.6037","3500","2.9851","2909","3.0058","1355","1.7493","UR",
"35","City of Sydney","Walked only","11722","9.2373","28120","23.9834","24486","25.3009","18760","24.2196","UR",
"35","City of Sydney","Other","1194","0.9409","1712","1.4602","1192","1.2317","1163","1.5015","UR",
"35","City of Sydney","Worked at home","66323","52.2648","4833","4.1220","3855","3.9833","3064","3.9557","UR",
"35","City of Sydney","Did not go to work","13786","10.8638","7831","6.6790","6908","7.1379","6763","8.7312","UR",
"35","City of Sydney","Not stated","441","0.3475","1040","0.8870","856","0.8845","963","1.2433","UR",
"35","City of Sydney","Total employed persons aged 15+","126898","100.0000","117248","100.0000","96779","100.0000","77458","100.0000","UR",
"36","M9 Inner Melbourne region","Train","16310","5.1458","40343","14.8429","29825","12.8363","21803","10.9329","UR",
"36","M9 Inner Melbourne region","Bus","2680","0.8455","4886","1.7976","4196","1.8059","3172","1.5910","UR",
"36","M9 Inner Melbourne region","Tram","13880","4.3791","31435","11.5655","24658","10.6125","18677","9.3658","UR",
"36","M9 Inner Melbourne region","Ferry","48","0.0151","70","0.0258","72","0.0310","55","0.0276","UR",
"36","M9 Inner Melbourne region","Taxi/ride-share","1032","0.3256","869","0.3197","898","0.3865","926","0.4643","UR",
"36","M9 Inner Melbourne region","Car - as driver","76372","24.0952","99592","36.6416","91278","39.2849","83661","41.9507","UR",
"36","M9 Inner Melbourne region","Car - as passenger","5020","1.5838","6505","2.3933","6709","2.8875","6636","3.3280","UR",
"36","M9 Inner Melbourne region","Truck","306","0.0965","322","0.1185","409","0.1760","465","0.2332","UR",
"36","M9 Inner Melbourne region","Motorbike","1495","0.4717","1685","0.6199","1618","0.6964","1236","0.6203","UR",
"36","M9 Inner Melbourne region","Bicycle","7088","2.2362","12184","4.4827","9940","4.2780","6676","3.3480","UR",
"36","M9 Inner Melbourne region","Walked only","21204","6.6898","33111","12.1821","26551","11.4272","22425","11.2451","UR",
"36","M9 Inner Melbourne region","Other","3674","1.1591","4629","1.7031","3630","1.5623","2765","1.3870","UR",
"36","M9 Inner Melbourne region","Worked at home","132456","41.7895","12767","4.6972","10034","4.3185","8487","4.2561","UR",
"36","M9 Inner Melbourne region","Did not go to work","34266","10.8108","21389","7.8694","20056","8.6318","19581","9.8190","UR",
"36","M9 Inner Melbourne region","Not stated","1129","0.3562","2013","0.7406","2475","1.0652","2853","1.4311","UR",
"36","M9 Inner Melbourne region","Total employed persons aged 15+","316960","100.0000","271800","100.0000","232349","100.0000","199427","100.0000","UR",
"40","Victoria","Train","90750","2.8692","252089","9.2134","200045","7.9047","147858","6.5009","UR",
"40","Victoria","Bus","24070","0.7610","36421","1.3311","33968","1.3422","24801","1.0904","UR",
"40","Victoria","Tram","20503","0.6482","51142","1.8691","42943","1.6969","33332","1.4655","UR",
"40","Victoria","Ferry","602","0.0190","600","0.0219","587","0.0232","475","0.0209","UR",
"40","Victoria","Taxi/ride-share","6461","0.2043","4878","0.1783","4866","0.1923","4549","0.2000","UR",
"40","Victoria","Car - as driver","1578210","49.8977","1691492","61.8207","1554450","61.4233","1394021","61.2907","UR",
"40","Victoria","Car - as passenger","110123","3.4817","110500","4.0386","116065","4.5862","111038","4.8820","UR",
"40","Victoria","Truck","16403","0.5186","16724","0.6112","20111","0.7947","22813","1.0030","UR",
"40","Victoria","Motorbike","7654","0.2420","9880","0.3611","10591","0.4185","10846","0.4769","UR",
"40","Victoria","Bicycle","22267","0.7040","33965","1.2414","30875","1.2200","25183","1.1072","UR",
"40","Victoria","Walked only","72373","2.2882","87797","3.2088","83514","3.3000","80541","3.5411","UR",
"40","Victoria","Other","30938","0.9782","32921","1.2032","28528","1.1273","23093","1.0153","UR",
"40","Victoria","Worked at home","814082","25.7385","126918","4.6386","108878","4.3023","104397","4.5900","UR",
